"","state","state_j","score","name_x","pro_blm_ratio_x","topic_blm_ratio_x","name_y","pro_blm_ratio_y","topic_blm_ratio_y","contig","dif_mrp_ideology","dif_urban_index","dif_white","dif_black","dif_med_inc","dif_population","sim_score","dif_ratio"
"106","AZ","MD",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Larry Hogan",0,0.0277777777777778,0,0.20046808,0.41,0.1953,0.25330001,27701,974278,0.009615385,0.0069916855631141
"107","AZ","ME",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Janet Mills",0,0.0106382978723404,0,0.081620976,2.26,0.1991,0.031399999,3395,5789143,0,0.0241311654685515
"108","AZ","MI",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Gretchen Whitmer",0.0344827586206897,0.0603448275862069,0,0.046486549,0.49000001,0.037900001,0.0911,2696,2925829,0.01923077,0.025575364245315
"109","AZ","MN",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Tim Walz",0.00924214417744917,0.105360443622921,0,0.078496382,0.83999997,0.078699999,0.018999999,11665,1445008,0.028846154,0.0705909802820291
"110","AZ","MO",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Mike Parson",0.0112759643916914,0.0664688427299703,0,0.077749223,1.1,0.075199999,0.068700001,4910,996589,0.086538464,0.0316993793890784
"111","AZ","MT",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Steve Bullock",0,0.0217917675544794,0,0.163902,2.8299999,0.14030001,0.039700001,10347,6067277,0.048076924,0.0129776957864125
"112","AZ","NC",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Roy Cooper",0.00210526315789474,0.0452631578947368,0,0.010503368,0.98000002,0.061900001,0.1682,6658,3287886,0.057692308,0.0104936945538449
"113","AZ","ND",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Doug Burgum",0.00763358778625954,0.0458015267175573,0,0.13734958,2.25,0.1191,0.0138,2973,6372408,0.028846154,0.0110320633766654
"114","AZ","NE",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Pete Ricketts",0.00643086816720257,0.0418006430868167,0,0.065695569,1.1,0.1154,0.0024999999,5160,5189998,0.03846154,0.0070311797459248
"115","AZ","NH",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Chris Sununu",0.00520156046814044,0.035110533159948,0,0.10866868,1.38,0.1821,0.0298,21806,5773973,0.009615385,0.0003410698190561
"116","AZ","NJ",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Phil Murphy",0.00658288450029922,0.0365050867743866,0,0.19843565,0.94,0.082699999,0.088600002,18461,2137492,0,0.0017356234334947
"117","AZ","NM",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Michelle Lujan Grisham",0.00117508813160987,0.027027027027027,1,0.026849234,1.4,0.037700001,0.024599999,16182,5033980,0.14423077,0.0077424363138649
"118","AZ","OH",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Mike DeWine",0.00355239786856128,0.0284191829484902,0,0.0017108802,0.41999999,0.067000002,0.078299999,6709,4647946,0.048076924,0.0063502803924017
"119","AZ","OK",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Kevin Stitt",0.00697674418604651,0.0372093023255814,0,0.11977267,1.36,0.0262,0.0276,14617,3192149,0.13461539,0.0024398389846895
"120","AZ","OR",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Kate Brown",0.00289435600578871,0.0738060781476122,0,0.19700231,0.58999997,0.088200003,0.0264,9767,2914246,0.086538464,0.0390366148067203
"121","AZ","PA",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Tom Wolf",0.0114942528735632,0.0505747126436782,0,0.028228715,0.15000001,0.056000002,0.0656,3701,5851198,0.01923077,0.0158052493027863
"122","AZ","RI",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Gina Raimondo",0,0.333333333333333,0,0.23656288,0.41999999,0.052299999,0.020099999,13087,6054123,0,0.298563869992441
"123","AZ","SC",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Henry McMaster",0,0.0384615384615385,0,0.091856852,1.1900001,0.0726,0.2192,6747,2033077,0.048076924,0.0036920751206466
"124","AZ","SD",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Kristi Noem",0.00689655172413793,0.0781609195402299,0,0.19154356,2.5699999,0.098399997,0.0239,3101,6264835,0.028846154,0.043391456199338
"125","AZ","TN",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Bill Lee",0.00961538461538462,0.0416666666666667,0,0.11648738,1.1,0.0296,0.1214,12113,240662,0.057692308,0.0068972033257748
"126","AZ","TX",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Greg Abbott",0.0481099656357388,0.154639175257732,0,0.015290858,0.13,0.046100002,0.0757,1316,21994004,0.15384616,0.11986971191684
"127","AZ","UT",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Gary Herbert",0,0.037037037037037,1,0.069939137,0.34,0.1137,0.033199999,16905,3879886,0.10576923,0.0022675736961451
"128","AZ","VA",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Ralph Northam",0.0173410404624277,0.0635838150289017,0,0.061439354,0.38999999,0.074500002,0.1452,15126,1479891,0.009615385,0.0288143516880098
"129","AZ","VT",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Phil Scott",0.0200364298724954,0.0400728597449909,0,0.32270178,2.46,0.1983,0.032499999,169,6508425,0.01923077,0.005303396404099
